#List Size           Heap Sort          Quick Sort          Merge Sort
10639               20000                   0               50000
20874               10000                   0               60000
4226                   0                   0               10000
19222               10000                   0               60000
13656               20000               10000               60000
30289               10000               10000               70000
9039               10000                   0               20000
11884               10000                   0               30000
25045               40000               20000              110000
1846                   0                   0               10000
6709                   0                   0               20000
21662               10000               10000               50000
19556               20000               20000               90000
23966               10000                   0               70000
28696               10000                   0               80000
9102               10000                   0               20000
9179               10000               10000               40000
13426                   0                   0               40000
3919                   0                   0               10000
1202                   0                   0               10000
23881               30000               20000              110000
21505               10000                   0               60000
2201                   0                   0               10000
13405                   0               10000               30000
16718               20000               20000               70000
13195               10000                   0               40000
4804                   0                   0               10000
4276                   0                   0               20000
17216               20000               10000               80000
6000               10000                   0               10000
17296               10000                   0               50000
31997               10000               10000               80000
2387                   0                   0               10000
31216               10000               10000               80000
26991               10000                   0               80000
10936                   0               10000               30000
30299               40000               30000              130000
568                   0                   0               10000
29032               10000                   0               80000
22799               10000               10000               60000
#Average Times: 
#Heap Sort: 10000
#Quick Sort: 5250
#Merge Sort: 49000
